"","Dallas","Denton","Ellis","Johnson","Parker","Tarrant"
"2009-09-12",0.54566067,0.58595297,0.47566776,0.67005545,1.27388535,0.27586436
"2009-09-19",1.05875795,0.71862498,0.73936156,0.73485385,1.32,0.37693094
"2009-09-26",1.35894324,0.78225971,0.7207573,0.70361362,0.46329294,0.49541355
"2009-10-03",1.22855529,1.16633674,1.42091207,1.35973988,0.95238095,0.64136648
"2009-10-10",0.82461117,0.7912844,0.4637005,0.93402028,0.81123245,0.47310382
"2009-10-17",0.69291095,0.7856598,0.65533899,0.90486963,1.72206648,0.38306197
"2009-10-24",0.46161048,0.80119645,0.6765726,0.28029197,1.07264749,0.32293265
"2009-10-31",0.36932541,0.41194645,0.52536849,0.48098222,1.07108082,0.31031976
"2009-11-07",0.30845705,0.45311955,0.99524494,0.96471699,0.52465897,0.26784393
"2009-11-14",0.29657185,0.39533505,0.33685156,0.58298546,1.41921397,0.2206061
"2009-11-21",0.40547719,0.47508832,0.12571429,0.72992701,0.72463768,0.26433113
"2009-11-28",0.38093604,0.4218138,0.55153395,0.57709547,1.03305785,0.23278371
"2009-12-05",0.37276763,0.56294167,0.26595745,0.72691847,0.2265861,0.31577603
"2009-12-12",0.28639913,0.5356056,0.32292788,0.85546381,1.80412371,0.27084139
"2009-12-19",0.315489,0.55684925,0.31135924,0.77222319,0.80357143,0.25803931
"2009-12-26",0.44228832,0.60085837,0.3981142,1.04861156,0.79002079,0.21376061
"2010-01-02",0.41187115,0.66614077,0.47062396,1.10557962,1.05078809,0.30114357
"2010-01-09",0.46363458,0.23019776,0.40437913,0.65712274,1.19331742,0.26310552
"2010-01-16",0.28534527,0.5537669,0.14129996,0.54662642,0.36549708,0.22868364
"2010-01-23",0.25367937,0.38471403,0.14577259,0.33384853,0.52173913,0.17801071
"2010-01-30",0.29137344,0.26784519,0.33475916,0.88390644,0.54090602,0.25036542
"2010-02-06",0.35637151,0.45193485,0.5290194,0.49875312,0.63041765,0.28755717
"2010-02-13",0.296087,0.53200767,0.44197643,0.61681699,0.28089888,0.29295309
"2010-02-20",0.31456251,0.39170019,0.3032491,0.55883028,0.36866359,0.24472331
"2010-02-27",0.31984107,0.29251563,0.57741241,0.46485018,0.53475936,0.26784903
"2010-03-06",0.23886123,0.22659221,0.30816641,0.30337901,0.25265285,0.18254652
"2010-03-13",0.16202636,0.20622809,0.1688397,0.41284404,0.38491147,0.11716692
"2010-03-20",0.25455995,0.33364702,0.2159161,0.34893617,0.36220948,0.25963157
"2010-03-27",0.17925194,0.21983199,0.12288031,0.29713668,1.22349103,0.1961701
"2010-04-03",0.21732882,0.27506402,0.18327606,0.59122262,0.87145969,0.19449834
"2010-04-10",0.18925586,0.24032871,0.24611399,0.25765098,0.9042954,0.17405925
"2010-04-17",0.21038308,0.41230893,0.22421525,0.25375028,0.36706869,0.19469121
"2010-04-24",0.22632981,0.27,0.16918967,0.36022565,0.58102001,0.19357442
"2010-05-01",0.18179258,0.18867925,0.19431988,0.27292576,0.24896266,0.21156559
"2010-05-08",0.2107303,0.3486501,0.43850033,0.36141411,0.30800821,0.21234977
"2010-05-15",0.18399928,0.26636532,0.12464166,0.32954962,0.36264733,0.21639769
"2010-05-22",0.19614677,0.17143709,0.18448393,0.27732684,0.43832185,0.19104523
"2010-05-29",0.15439539,0.14758226,0.20915033,0.18175917,0.30627871,0.1625695
"2010-06-05",0.15981557,0.22031824,0.18322763,0.23324522,1.20652945,0.18354939
"2010-06-12",0.12978093,0.27217828,0.29594272,0.18641373,0.48780488,0.13011719
"2010-06-19",0.11203294,0.24238227,0.154691,0.10176637,0.31897927,0.1472318
"2010-06-26",0.12335913,0.28893096,0.05451077,0.20590254,2.19538968,0.14689403
"2010-07-03",0.1316911,0.16253115,0.17578125,0.18937834,0.31771247,0.10788624
"2010-07-10",0.11601466,0.11945053,0.1322015,0.23161552,1.08254398,0.13232886
"2010-07-17",0.10151165,0.13955111,0.15775133,0.17518248,0.33500838,0.08080208
"2010-07-24",0.10896921,0.17195056,0.10637427,0.23725763,0.6097561,0.11219433
"2010-07-31",0.12654967,0.10226111,0.32741867,0.05761106,0.74547391,0.10008295
"2010-08-07",0.10927401,0.21251932,0.09593246,0.34081561,0.49423394,0.12357199
"2010-08-14",0.0966687,0.14356214,0.13194933,0.14590693,0.20979021,0.08908163
"2010-08-21",0.11835787,0.11781765,0.14134863,0.18926118,0.68027211,0.11869025
"2010-08-28",0.13122392,0.11826783,0.16623569,0.21680908,NA,0.13947925
"2010-09-04",0.15703852,0.24313153,0.11977072,0.31479538,0.75512406,0.171979
"2010-09-11",0.234417,0.43728743,0.1581157,0.30864198,0.37493305,0.20511592
"2010-09-18",0.20204031,0.30364372,0.13341544,0.5120015,0.27247956,0.16439382
"2010-09-25",0.23493875,0.17347859,0.19690207,0.22865854,2.08333333,0.16820713
"2010-10-02",0.24568207,0.19932403,0.32,0.18407514,0.25839793,0.17674849
"2010-10-09",0.28770755,0.27218291,0.43238994,0.61959556,0.18561485,0.19652963
"2010-10-16",0.23233634,0.34669556,0.55153023,0.5510907,0.68965517,0.16109956
"2010-10-23",0.22771998,0.39796595,0.14727541,0.36450159,0.69190069,0.1899311
"2010-10-30",0.2403592,0.39237668,0.17979144,0.57050538,1.2195122,0.15111407
"2010-11-06",0.24011005,0.26657781,0.18179752,0.42107659,0.91428571,0.19717488
"2010-11-13",0.26027347,0.21854249,0.24582414,0.62718863,0.47656871,0.26122008
"2010-11-20",0.30475218,0.36028399,0.39538715,0.34387133,0.65204505,0.2475502
"2010-11-27",0.25849933,0.36929057,0.23054755,0.53509421,0.70767556,0.25631637
"2010-12-04",0.33929414,0.43049139,0.23793077,0.46622634,0.36997886,0.20423894
"2010-12-11",0.31002033,0.38816618,0.2813779,0.39655909,0.79545455,0.24320452
"2010-12-18",0.35588619,0.37468354,0.31398376,0.67980022,0.43227666,0.29292615
"2010-12-25",0.32577816,0.2034498,0.51715703,0.44064395,0.95799558,0.28971533
"2011-01-01",0.35847531,0.34548662,0.16067235,0.46606705,1.28354726,0.35940041
"2011-01-08",0.37356734,0.34417106,0.26184865,0.53743514,0.47701648,0.32966082
"2011-01-15",0.36421112,0.50325016,0.44978565,0.67680481,1.21591746,0.34852844
"2011-01-22",0.37288214,0.35327548,0.32981919,0.74704142,1.08271979,0.29615092
"2011-01-29",0.41869854,0.32131148,0.48764477,0.54520053,0.68027211,0.46059518
"2011-02-05",0.39339769,0.45876397,0.26933436,0.53258145,0.53169734,0.36405779
"2011-02-12",0.30719065,0.41246563,0.33204633,0.89932352,0.46649703,0.26622902
"2011-02-19",0.28148311,0.30367446,0.31288116,0.4049244,0.5192108,0.25883941
"2011-02-26",0.28259714,0.28163064,0.20523006,0.25140969,0.54326737,0.32239836
"2011-03-05",0.23895869,0.20519836,0.17256255,0.32672805,0.73260073,0.26187133
"2011-03-12",0.27138846,0.37948718,0.26452571,0.64086241,0.48280024,0.2376201
"2011-03-19",0.22193011,0.27081453,0.18355142,0.52041274,0.49200492,0.1787716
"2011-03-26",0.21638721,0.18790571,0.2081221,0.5819869,0.67567568,0.20139565
"2011-04-02",0.18019838,0.3446578,0.1737863,0.28185729,0.34340659,0.16017724
"2011-04-09",0.18691521,0.16533678,0.11723329,0.24195683,0.35087719,0.177729
"2011-04-16",0.18375837,0.24170512,0.20321331,0.32391048,0.32467532,0.18754875
"2011-04-23",0.15717646,0.25535796,0.33584596,0.20537125,1.21522226,0.1472895
"2011-04-30",0.15517378,0.25402202,0.35881664,0.37737629,0.25873221,0.15981285
"2011-05-07",0.16410891,0.28829671,0.24229575,0.3517316,0.61205273,0.16045508
